id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
72938,0.0,2011-07-27,,0,,33.54289809,-9.1747774,Kwa Mzee Noa,0,Lake Nyasa,Mpandapanda,Mbeya,12,4,Rungwe,Kiwira,0,True,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional
65358,500.0,2011-03-23,Rc Church,2049,ACRA,34.66575986,-9.30854753,Kwa Yasinta Ng'Ande,0,Rufiji,Kitichi,Iringa,11,4,Njombe,Imalinyi,175,True,GeoData Consultants Ltd,WUA,Tove Mtwango gravity Scheme,True,2008,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
469,25.0,2011-03-07,Donor,290,Do,38.23856758,-6.179919,Kwasungwini,0,Wami / Ruvu,Kwedigongo,Pwani,6,1,Bagamoyo,Mbwewe,2300,True,GeoData Consultants Ltd,VWC,,False,2010,india mark ii,india mark ii,handpump,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
1298,0.0,2011-07-31,Government Of Tanzania,0,DWE,30.71672742,-1.28905466,Kwajovin 2,0,Lake Victoria,Kihanga,Kagera,18,1,Karagwe,Isingiro,0,True,GeoData Consultants Ltd,,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non functional
27001,0.0,2011-03-10,Water,0,Gove,35.3893315,-6.39994241,Chama,0,Internal,Mtakuj,Dodoma,1,6,Bahi,Nondwa,0,True,GeoData Consultants Ltd,VWC,Zeje,True,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
41546,0.0,2011-08-07,Dwe/norad,1295,DWE,31.21458328,-8.43142779,Kwa Feston Mambosasa,0,Lake Tanganyika,Kisumba Kati,Rukwa,15,2,Sumbawanga Rural,Kasanga,200,True,GeoData Consultants Ltd,VWC,Kisumba water supply,True,1986,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional
16230,20000.0,2013-09-03,Oxfam,1515,DWE,36.69669988,-3.33792599,Oroirwa,0,Pangani,Oroirwa,Arusha,2,2,Arusha Rural,Oltroto,150,True,GeoData Consultants Ltd,VWC,Nabaiye pipe line,True,1995,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional
10307,0.0,2011-04-17,Water,0,DWE,36.29272404,-5.17733272,Zahanati,0,Internal,Polisi,Dodoma,1,1,Kondoa,Mrijo,0,True,GeoData Consultants Ltd,VWC,Mrij,False,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
37145,0.0,2011-08-03,Danida,0,DANIDA,32.87724794,-8.92592137,Mwambasi,0,Lake Rukwa,Bagamoyo,Mbeya,12,6,Mbozi,Halungu,0,False,GeoData Consultants Ltd,VWC,,False,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,non functional
49234,0.0,2011-08-03,Tancan,0,TANCAN,33.01441244,-3.11586873,Mwanzuki,0,Lake Victoria,Mwanzuki,Mwanza,19,7,Missungwi,Shilalo,0,True,GeoData Consultants Ltd,VWC,,True,0,submersible,submersible,submersible,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,machine dbh,borehole,groundwater,other,other,non functional
52130,0.0,2013-02-03,Fw,286,FW,38.95076861,-10.88902267,Nayosi,0,Ruvuma / Southern Coast,Nayosi,Mtwara,90,33,Masasi,Chiugutwa,1,True,GeoData Consultants Ltd,VWC,,True,1985,other,other,other,vwc,user-group,unknown,unknown,salty,salty,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
16650,20.0,2011-03-03,District Council,17,DWE,39.0200938,-5.34666109,Kwa Kilo,3,Pangani,Mbuyuni,Tanga,4,5,Pangani,Kimang'a,300,True,GeoData Consultants Ltd,Water authority,Boza water supply,False,2009,submersible,submersible,submersible,water authority,commercial,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non functional
36612,0.0,2013-03-22,Rc Church,1404,,36.69435743,-3.03555227,Zahanati,0,Internal,Osinyai,Arusha,2,6,Longido,Longido,200,True,GeoData Consultants Ltd,Parastatal,,True,2001,gravity,gravity,gravity,parastatal,parastatal,never pay,never pay,fluoride,fluoride,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional
19057,50.0,2011-03-19,Private Individual,-12,Da,38.89099015,-6.44475372,Mwamini,0,Wami / Ruvu,Nia Njema C,Pwani,6,1,Bagamoyo,Magomeni,30,True,GeoData Consultants Ltd,Company,Bagamoyo wate,True,2008,ksb,submersible,submersible,private operator,commercial,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
4085,0.0,2011-07-15,Partage,0,DWE,31.7462917,-1.25393602,Kihanga,0,Lake Victoria,Kihanga,Kagera,18,7,Misenyi,Bwanjai,0,True,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,improved spring,improved spring,non functional
12040,0.0,2013-03-26,Government Of Tanzania,1466,DWE,37.50157315,-3.27798902,Ofisi Ya Kata,0,Pangani,Kirimbochoni,Kilimanjaro,3,4,Moshi Rural,Marangu Magharibi,15,True,GeoData Consultants Ltd,VWC,Marangu west,True,1972,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
21481,6500.0,2013-02-14,Dmdd,1969,Dmdd,35.37140049,-4.47080188,Mathias,0,Internal,Rabai,Manyara,21,2,Hanang,Mogitu,162,True,GeoData Consultants Ltd,VWC,Gamowaso,True,2003,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
69234,0.0,2013-01-22,Government Of Tanzania,319,Government,38.01878389,-9.56876854,Kwa Mzee Ndapendulela,0,Ruvuma / Southern Coast,Maendeleo,Lindi,80,43,Liwale,Mbaya,250,,GeoData Consultants Ltd,VWC,,True,2006,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
48982,500.0,2013-01-15,Norad,884,RWE,29.66096787,-4.8186482,Kwa Samwel Katabila,0,Lake Tanganyika,Kibingo,Kigoma,16,3,Kigoma Rural,Kagongo,1500,True,GeoData Consultants Ltd,VWC,Mkongoro One,True,1985,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe multiple,communal standpipe,non functional
53992,10.0,2013-03-15,Hans,1472,Hans,35.71429471,-3.3147729,Babaso,0,Internal,Marere,Arusha,24,30,Karatu,Rhotia,150,True,GeoData Consultants Ltd,VWC,Mowasu,True,1994,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
3658,0.0,2013-01-17,Oxfarm,1274,OXFARM,30.24172655,-4.18262605,Kwa Jwijwi,0,Lake Tanganyika,Kishiha,Kigoma,16,2,Kasulu,Heru- Ushingo,4210,True,GeoData Consultants Ltd,Water authority,,False,1996,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
45331,25.0,2011-07-13,Ru,1551,DWE,31.02371554,-7.49011594,Mama Selemani,0,Lake Tanganyika,Matunda,Rukwa,15,3,Nkasi,Namanyere,1,True,GeoData Consultants Ltd,VWC,,False,1995,nira/tanira,nira/tanira,handpump,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
72431,0.0,2011-03-08,Government Of Tanzania,292,DWE,35.94430697,-8.52558756,Kwandeki,0,Rufiji,Chinganda,Morogoro,5,3,Kilombero,Chita,500,True,GeoData Consultants Ltd,,,True,1980,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional
64881,0.0,2013-02-01,Rwssp,0,DWE,32.58010752,-3.54938049,Buchambage,0,Lake Victoria,Buchambage,Shinyanga,17,3,Kahama,Chela,0,True,GeoData Consultants Ltd,,,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,milky,milky,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,functional
