id,longitude,latitude,date_recorded,funder,gps_height,installer,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
69572,32.766827,-2.147466,2013-03-06,Central government,1376,Central government,Zahanati,0,Lake Victoria,Zahanati,Kagera,16,1,Bukoba,Zahanati,GeoData Consultants Ltd,VWC,Zahanati,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
8776,33.366711,-2.78559,2013-03-06,Hesawa,1399,Hesawa,Kanyovu,0,Lake Victoria,Kanyovu,Kagera,16,1,Bukoba,Kanyovu,GeoData Consultants Ltd,VWC,Kanyovu,False,2002,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
34310,32.852855,-2.235733,2013-03-06,Hesawa,1338,Hesawa,Nyakabanga,0,Lake Victoria,Nyakabanga,Kagera,16,1,Bukoba,Nyakabanga,GeoData Consultants Ltd,VWC,Nyakabanga,False,2002,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
67743,32.945669,-2.162717,2013-03-06,Central government,1370,Central government,Nyakatuntu,0,Lake Victoria,Nyakatuntu,Kagera,16,1,Bukoba,Nyakatuntu,GeoData Consultants Ltd,VWC,Nyakatuntu,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
19728,33.44827,-2.776781,2013-03-06,Central government,1369,Central government,Nyamabuye,0,Lake Victoria,Nyamabuye,Kagera,16,1,Bukoba,Nyamabuye,GeoData Consultants Ltd,VWC,Nyamabuye,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
59400,32.87635,-2.147466,2013-03-06,Central government,1264,Central government,Nyamiyaga,0,Lake Victoria,Nyamiyaga,Kagera,16,1,Bukoba,Nyamiyaga,GeoData Consultants Ltd,VWC,Nyamiyaga,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
50785,33.365669,-2.81559,2013-03-06,Central government,1380,Central government,Nyakatare,0,Lake Victoria,Nyakatare,Kagera,16,1,Bukoba,Nyakatare,GeoData Consultants Ltd,VWC,Nyakatare,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
21250,33.42827,-2.78559,2013-03-06,Central government,1390,Central government,Nyabusozi,0,Lake Victoria,Nyabusozi,Kagera,16,1,Bukoba,Nyabusozi,GeoData Consultants Ltd,VWC,Nyabusozi,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
39307,32.901378,-2.147466,2013-03-06,Central government,1348,Central government,Nyakatuntu,0,Lake Victoria,Nyakatuntu,Kagera,16,1,Bukoba,Nyakatuntu,GeoData Consultants Ltd,VWC,Nyakatuntu,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
18990,33.447147,-2.776781,2013-03-06,Central government,1375,Central government,Nyamabuye,0,Lake Victoria,Nyamabuye,Kagera,16,1,Bukoba,Nyamabuye,GeoData Consultants Ltd,VWC,Nyamabuye,False,1986,gravity,gravity,gravity,vwc,user-group,pay per bucket,pay per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
